,Net,Short,Long,Cat.,Index
U.S.Stock,99.90,0.00,99.90,84.55,98.92
Non-U.S.Stock,0.92,0.00,0.92,1.41,1.08
Bonds,12.27,0.00,12.27,1.68,0.00
Other,0.00,0.00,0.00,0.57,0.00
Cash,-13.09,121.84,108.75,77.20,0.00
Not Classified,0.00,0.00,0.00,0.57,0.00
