,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,YTD
Fund (Price),—,—,—,—,—,—,—,—,—,-14.89,9.96
Fund (NAV),—,—,—,—,—,—,—,—,—,-14.90,12.72
+/ Category (NAV),—,—,—,—,—,—,—,—,—,-7.11,-6.79
+/- Index (Price),—,—,—,—,—,—,—,—,—,-9.84,-5.19
Percentile Rank,—,—,—,—,—,—,—,—,—,93,91
# of Funds in Category,—,—,—,—,—,—,—,—,155,199,262
