,Fund,Cat. Average,Index
Price/Earnings ,9.09,11.87,—
Price/Book ,0.89,1.05,—
Price/Sales ,0.59,0.73,—
Price/Cash Flow ,3.69,3.83,—
Dividend Yield % ,3.00,2.61,—
Long-Term Earnings % ,13.69,7.31,—
Historical Earnings % ,13.50,8.40,—
Sales Growth % ,2.32,8.94,—
Cash-Flow Growth % ,9.09,7.00,—
Book-Value Growth % ,6.33,9.61,—
