,Net,Short,Long,Cat.,Index
U.S.Stock,0.00,0.00,0.00,0.03,—
Non-U.S.Stock,199.90,0.00,199.90,620.20,—
Bonds,0.14,0.00,0.14,8.78,—
Other,0.02,0.00,0.02,3.73,—
Cash,-100.05,106.52,6.47,156.79,—
Not Classified,0.00,0.00,0.00,0.10,—
