,Values
NAV,"4,155.75"
Open Price,"4,100.00"
Bid / Ask / Spread,"4,100.00 / 4,115.00 / 0.37%"
Volume / Avg,"20,070.0 / 32,155.1"
Day Range,"4,040.00 – 4,110.00"
Year Range,"4,020.00 – 5,845.00"
SEC Yield ,—
12-Month Yield ,0.00%
Premium ,—
Expense Ratio,0.370%
Total Assets,12.1 Bil
