Sectors,Fund %,Category %
Basic Materials,7.55,6.42
Consumer Cyclical,10.60,10.04
Financial Services,11.46,14.39
Real Estate,0.00,0.89
Communication Services,2.75,2.37
Energy,1.87,1.90
Industrials,9.27,8.43
Technology,43.81,33.92
Consumer Defensive,6.47,6.36
Healthcare,4.92,14.24
Utilities,1.29,1.05
