,1-Day,1-Week,1-Month,3-Month,YTD,1-Year,3-Year,5-Year,10-Year,15-Year,Since Inception
Total Return % (Price),0.99,1.05,16.40,9.27,4.53,20.87,—,—,—,—,—
Total Return % (NAV),-2.35,-1.83,14.42,10.02,3.19,22.00,—,—,—,—,-5.11
+/- Category (NAV),—,—,—,—,—,—,—,—,—,—,—
+/- Index (NAV),—,—,—,—,—,—,—,—,—,—,—
