,Values
NAV,"8,565.61"
Open Price,"8,675.00"
Bid / Ask / Spread,"8,620.00 / 0.00 / 0.00%"
Volume / Avg,"123,937.0 / 154,263.4"
Day Range,"8,620.00 – 8,735.00"
Year Range,"6,480.00 – 8,870.00"
SEC Yield ,—
12-Month Yield ,0.00%
Premium ,—
Expense Ratio,0.630%
Total Assets,35.1 Bil
