,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,YTD
Fund (Price),—,—,—,—,—,—,—,—,—,—,1.17
Fund (NAV),—,—,—,—,—,—,—,—,—,—,1.12
+/ Category (NAV),—,—,—,—,—,—,—,—,—,—,-2.00
+/- Index (Price),—,—,—,—,—,—,—,—,—,—,-4.44
Percentile Rank,—,—,—,—,—,—,—,—,—,—,96
# of Funds in Category,—,—,—,—,—,—,—,—,—,545,717
