,Values
NAV,"101,570.56"
Open Price,"101,545.00"
Bid / Ask / Spread,"101,565.00 / 101,585.00 / 0.02%"
Volume / Avg,3.0 / 45.4
Day Range,"101,545.00 – 101,550.00"
Year Range,"100,015.00 – 101,550.00"
SEC Yield ,—
12-Month Yield ,—
Premium ,—
Expense Ratio,0.120%
Total Assets,112.8 Bil
