,Fund,Cat. Average,Index
Price/Earnings ,11.79,11.02,12.13
Price/Book ,1.23,0.84,0.86
Price/Sales ,0.76,0.53,0.65
Price/Cash Flow ,7.67,3.46,3.66
Dividend Yield % ,1.48,3.08,3.48
Long-Term Earnings % ,24.63,10.07,3.69
Historical Earnings % ,-0.66,15.26,14.88
Sales Growth % ,-5.26,11.25,4.89
Cash-Flow Growth % ,-33.13,16.83,15.05
Book-Value Growth % ,6.74,10.86,8.56
