,Values
NAV,"7,550.96"
Open Price,"7,485.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,5.0 / 22.1
Day Range,"7,485.00 – 7,540.00"
Year Range,"6,960.00 – 10,155.00"
SEC Yield ,—
12-Month Yield ,0.76%
Premium ,—
Expense Ratio,0.490%
Total Assets,3.4 Bil
