,1-Day,1-Week,1-Month,3-Month,YTD,1-Year,3-Year,5-Year,10-Year,15-Year,Since Inception
Total Return % (Price),-0.40,5.82,-13.62,-14.90,-13.55,-18.44,—,—,—,—,—
Total Return % (NAV),-0.61,5.73,-13.83,-14.76,-13.66,-18.61,—,—,—,—,-24.26
+/- Category (NAV),-0.34,2.84,-6.32,-5.48,-10.23,-4.22,—,—,—,—,—
+/- Index (NAV),-0.92,6.36,-7.87,-10.29,-14.32,-8.21,—,—,—,—,—
