,Values
NAV,"9,636.45"
Open Price,"9,670.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,"12,556.0 / 34,609.4"
Day Range,"9,590.00 – 9,750.00"
Year Range,"9,320.00 – 13,650.00"
SEC Yield ,—
12-Month Yield ,0.00%
Premium ,—
Expense Ratio,0.630%
Total Assets,33.7 Bil
