,Fund,Cat. Average,Index
Price/Earnings ,21.07,20.76,18.36
Price/Book ,5.45,4.02,2.98
Price/Sales ,3.43,2.44,2.02
Price/Cash Flow ,13.11,13.01,9.21
Dividend Yield % ,1.09,1.25,1.92
Long-Term Earnings % ,12.89,11.86,9.81
Historical Earnings % ,20.19,18.59,12.13
Sales Growth % ,13.64,7.55,7.07
Cash-Flow Growth % ,18.42,14.90,12.81
Book-Value Growth % ,7.32,5.98,4.65
