,Values
NAV,"10,025.22"
Open Price,"9,745.00"
Bid / Ask / Spread,"9,300.00 / 9,990.00 / 7.15%"
Volume / Avg,"2,536.0 / 27,078.0"
Day Range,"9,735.00 – 9,795.00"
Year Range,"7,620.00 – 10,420.00"
SEC Yield ,—
12-Month Yield ,—
Premium ,—
Expense Ratio,0.550%
Total Assets,7.0 Bil
