,Fund,Cat. Average,Index
Price/Earnings ,12.07,12.50,9.92
Price/Book ,1.58,1.82,1.26
Price/Sales ,1.22,1.42,1.10
Price/Cash Flow ,5.66,6.00,3.71
Dividend Yield % ,2.68,2.83,3.51
Long-Term Earnings % ,10.24,9.55,8.64
Historical Earnings % ,5.55,13.10,9.92
Sales Growth % ,6.31,10.48,9.83
Cash-Flow Growth % ,7.87,16.38,10.51
Book-Value Growth % ,9.32,9.29,8.65
