,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,YTD
Fund (Price),—,—,—,—,—,—,—,—,—,-24.74,29.63
Fund (NAV),—,—,—,—,—,—,—,—,—,-24.59,31.13
+/ Category (NAV),—,—,—,—,—,—,—,—,—,-2.97,13.97
+/- Index (Price),—,—,—,—,—,—,—,—,—,-13.93,22.99
Percentile Rank,—,—,—,—,—,—,—,—,—,67,11
# of Funds in Category,—,—,—,—,—,—,—,—,734,890,938
