,1-Day,1-Week,1-Month,3-Month,YTD,1-Year,3-Year,5-Year,10-Year,15-Year,Since Inception
Total Return % (Price),-0.24,0.09,5.93,4.10,19.43,17.77,—,—,—,—,—
Total Return % (NAV),-1.72,-0.33,6.09,4.80,19.88,18.26,—,—,—,—,2.16
+/- Category (NAV),—,—,—,—,—,—,—,—,—,—,—
+/- Index (NAV),—,—,—,—,—,—,—,—,—,—,—
