,Values
NAV,"10,576.30"
Open Price,"10,580.00"
Bid / Ask / Spread,"10,555.00 / 10,580.00 / 0.24%"
Volume / Avg,"447,573.0 / 163,796.2"
Day Range,"10,520.00 – 10,620.00"
Year Range,"8,600.00 – 10,735.00"
SEC Yield ,—
12-Month Yield ,0.00%
Premium ,—
Expense Ratio,0.480%
Total Assets,19.7 Bil
