,Fund,Cat. Average,Index
Price/Earnings ,12.23,12.69,12.93
Price/Book ,1.09,1.29,1.09
Price/Sales ,0.83,0.77,0.75
Price/Cash Flow ,4.31,6.09,5.07
Dividend Yield % ,2.75,2.56,2.75
Long-Term Earnings % ,6.37,9.86,9.91
Historical Earnings % ,16.61,2.25,3.93
Sales Growth % ,5.59,3.68,4.11
Cash-Flow Growth % ,2.44,-4.05,-0.06
Book-Value Growth % ,8.03,6.82,7.52
