,Values
NAV,"13,398.35"
Open Price,"13,460.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,"563.0 / 1,853.5"
Day Range,"13,210.00 – 13,460.00"
Year Range,"10,815.00 – 13,465.00"
SEC Yield ,—
12-Month Yield ,0.00%
Premium ,—
Expense Ratio,0.510%
Total Assets,8.0 Bil
