Sectors,Fund %,Category %
Basic Materials,9.56,8.70
Consumer Cyclical,27.78,13.65
Financial Services,10.24,11.56
Real Estate,0.00,0.29
Communication Services,6.52,2.34
Energy,0.00,1.96
Industrials,23.21,10.46
Technology,10.17,38.20
Consumer Defensive,10.57,6.64
Healthcare,0.00,4.97
Utilities,1.95,1.23
