,Values
NAV,"7,483.46"
Open Price,"7,415.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,"4,855.0 / 2,530.0"
Day Range,"7,395.00 – 7,450.00"
Year Range,"7,380.00 – 9,260.00"
SEC Yield ,—
12-Month Yield ,1.77%
Premium ,—
Expense Ratio,0.440%
Total Assets,3.7 Bil
