,Fund,Cat. Average,Index
Price/Earnings ,23.41,9.22,—
Price/Book ,3.37,0.83,—
Price/Sales ,3.05,0.46,—
Price/Cash Flow ,24.10,3.89,—
Dividend Yield % ,0.29,2.81,—
Long-Term Earnings % ,19.52,5.87,—
Historical Earnings % ,-2.07,3.24,—
Sales Growth % ,9.26,1.97,—
Cash-Flow Growth % ,8.82,-5.54,—
Book-Value Growth % ,9.06,6.47,—
