,Values
NAV,"9,859.28"
Open Price,"9,810.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,574.0 / 696.1
Day Range,"9,810.00 – 9,840.00"
Year Range,"9,655.00 – 11,260.00"
SEC Yield ,—
12-Month Yield ,0.61%
Premium ,—
Expense Ratio,0.450%
Total Assets,7.9 Bil
