,Net,Short,Long,Cat.,Index
U.S.Stock,0.00,0.00,0.00,0.00,0.00
Non-U.S.Stock,29.65,0.00,29.65,26.64,29.07
Bonds,69.82,0.00,69.82,58.62,0.00
Other,0.00,0.00,0.00,0.75,70.15
Cash,0.53,4.05,4.57,20.82,0.00
Not Classified,0.00,0.00,0.00,1.24,0.78
