,Values
NAV,"29,080.54"
Open Price,"29,105.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,"2,090.0 / 85,787.7"
Day Range,"29,005.00 – 29,245.00"
Year Range,"28,595.00 – 34,940.00"
SEC Yield ,—
12-Month Yield ,0.00%
Premium ,—
Expense Ratio,0.030%
Total Assets,264.6 Bil
