,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,YTD
Fund (Price),—,—,—,—,—,—,—,—,—,—,-2.79
Fund (NAV),—,—,—,—,—,—,—,—,—,—,-2.15
+/ Category (NAV),—,—,—,—,—,—,—,—,—,—,2.72
+/- Index (Price),—,—,—,—,—,—,—,—,—,—,-3.29
Percentile Rank,—,—,—,—,—,—,—,—,—,—,14
# of Funds in Category,—,—,—,—,—,—,—,—,—,"2,015","2,284"
