,Values
NAV,"8,838.32"
Open Price,"8,770.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,"361.0 / 2,342.5"
Day Range,"8,755.00 – 8,850.00"
Year Range,"7,890.00 – 9,855.00"
SEC Yield ,—
12-Month Yield ,1.03%
Premium ,—
Expense Ratio,0.260%
Total Assets,2.3 Bil
