,Fund,Cat. Average,Index
Price/Earnings ,12.68,13.31,—
Price/Book ,1.09,0.99,—
Price/Sales ,0.29,0.52,—
Price/Cash Flow ,3.10,3.85,—
Dividend Yield % ,1.79,2.16,—
Long-Term Earnings % ,15.17,15.19,—
Historical Earnings % ,-15.70,35.81,—
Sales Growth % ,1.75,2.99,—
Cash-Flow Growth % ,1.16,2.81,—
Book-Value Growth % ,5.07,1.55,—
