,Fund,Cat. Average,Index
Price/Earnings ,12.12,12.50,9.92
Price/Book ,1.57,1.82,1.26
Price/Sales ,1.21,1.42,1.10
Price/Cash Flow ,5.67,6.00,3.71
Dividend Yield % ,2.73,2.83,3.51
Long-Term Earnings % ,11.83,9.55,8.64
Historical Earnings % ,8.05,13.10,9.92
Sales Growth % ,8.31,10.48,9.83
Cash-Flow Growth % ,11.58,16.38,10.51
Book-Value Growth % ,10.25,9.29,8.65
