,1-Day,1-Week,1-Month,3-Month,YTD,1-Year,3-Year,5-Year,10-Year,15-Year,Since Inception
Total Return % (Price),-0.25,1.06,-2.71,1.39,29.77,14.67,6.78,13.08,—,—,—
Total Return % (NAV),1.99,0.21,-2.30,0.36,31.25,14.88,7.01,13.26,—,—,10.41
+/- Category (NAV),1.07,0.26,1.57,2.73,14.09,13.94,1.16,7.10,—,—,—
+/- Index (NAV),1.84,-0.40,2.44,5.56,24.66,19.79,-2.59,6.59,—,—,—
