,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,YTD
Fund (Price),—,—,—,2.64,-29.64,31.39,-30.30,-16.50,4.07,1.34,-7.93
Fund (NAV),—,—,—,3.12,-29.46,31.90,-30.78,-15.98,3.71,1.37,-6.98
+/ Category (NAV),—,—,—,—,—,—,—,—,—,—,—
+/- Index (Price),—,—,—,—,—,—,—,—,—,—,—
Percentile Rank,—,—,—,—,—,—,—,—,—,—,—
# of Funds in Category,—,—,—,—,—,—,—,—,—,—,—
