,Fund,Cat. Average,Index
Price/Earnings ,12.85,13.31,—
Price/Book ,1.12,0.99,—
Price/Sales ,0.34,0.52,—
Price/Cash Flow ,3.53,3.85,—
Dividend Yield % ,0.95,2.16,—
Long-Term Earnings % ,19.34,15.19,—
Historical Earnings % ,132.84,35.81,—
Sales Growth % ,-12.15,2.99,—
Cash-Flow Growth % ,-11.87,2.81,—
Book-Value Growth % ,-0.89,1.55,—
