,Values
NAV,"2,708.14"
Open Price,"2,710.00"
Bid / Ask / Spread,"2,430.00 / 2,965.00 / 19.83%"
Volume / Avg,"7,226.0 / 24,340.7"
Day Range,"2,685.00 – 2,710.00"
Year Range,"2,420.00 – 3,500.00"
SEC Yield ,—
12-Month Yield ,0.72%
Premium ,—
Expense Ratio,0.480%
Total Assets,1.9 Bil
