,Values
Sustainability Rate,High
Percent Rank in Global Category,1%
Historical Sustainability Score,46.57
Global Category,Korea Equity
Portfolio ESG,52.01
Controversy Deduction,4.35
Sustainability Score,47.66
Sustainability Mandate,No
