,Fund,Cat. Average,Index
Price/Earnings ,1.92,11.02,12.13
Price/Book ,0.68,0.84,0.86
Price/Sales ,0.22,0.53,0.65
Price/Cash Flow ,2.91,3.46,3.66
Dividend Yield % ,2.33,3.08,3.48
Long-Term Earnings % ,10.53,10.07,3.69
Historical Earnings % ,31.13,15.26,14.88
Sales Growth % ,1.71,11.25,4.89
Cash-Flow Growth % ,-2.25,16.83,15.05
Book-Value Growth % ,5.12,10.86,8.56
