,Values
NAV,"6,300.76"
Open Price,"6,240.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,"1,668.0 / 6,639.6"
Day Range,"6,200.00 – 6,240.00"
Year Range,"6,185.00 – 8,190.00"
SEC Yield ,—
12-Month Yield ,1.64%
Premium ,—
Expense Ratio,0.210%
Total Assets,4.8 Bil
