,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,YTD
Fund (Price),—,—,—,—,—,—,—,—,16.23,-10.87,-7.76
Fund (NAV),—,—,—,—,—,—,—,—,16.19,-10.85,-6.78
+/ Category (NAV),—,—,—,—,—,—,—,—,-6.28,5.83,-1.91
+/- Index (Price),—,—,—,—,—,—,—,—,-16.00,6.76,-8.26
Percentile Rank,—,—,—,—,—,—,—,—,87,8,76
# of Funds in Category,—,—,—,—,—,—,—,"2,012","2,058","2,015","2,284"
