,Values
NAV,"9,391.62"
Open Price,"9,345.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,"2,322.0 / 10,901.0"
Day Range,"9,310.00 – 9,355.00"
Year Range,"9,310.00 – 11,195.00"
SEC Yield ,—
12-Month Yield ,2.85%
Premium ,—
Expense Ratio,0.280%
Total Assets,27.2 Bil
