,Fund,Cat. Average,Index
Price/Earnings ,8.81,11.02,12.13
Price/Book ,0.61,0.84,0.86
Price/Sales ,0.38,0.53,0.65
Price/Cash Flow ,3.79,3.46,3.66
Dividend Yield % ,3.39,3.08,3.48
Long-Term Earnings % ,15.12,10.07,3.69
Historical Earnings % ,3.79,15.26,14.88
Sales Growth % ,3.56,11.25,4.89
Cash-Flow Growth % ,-5.55,16.83,15.05
Book-Value Growth % ,3.87,10.86,8.56
