,Values
Sustainability Rate,Low
Percent Rank in Global Category,90%
Historical Sustainability Score,38.61
Global Category,Korea Equity
Portfolio ESG,42.51
Controversy Deduction,3.92
Sustainability Score,38.59
Sustainability Mandate,No
