,Values
NAV,"11,417.71"
Open Price,"11,470.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,728.0 / 718.4
Day Range,"11,270.00 – 11,470.00"
Year Range,"10,805.00 – 13,510.00"
SEC Yield ,—
12-Month Yield ,0.00%
Premium ,—
Expense Ratio,0.710%
Total Assets,9.1 Bil
