,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,YTD
Fund (Price),—,—,—,—,—,—,—,—,30.34,-13.43,0.18
Fund (NAV),—,—,—,—,—,—,—,—,28.62,-13.64,1.68
+/ Category (NAV),—,—,—,—,—,—,—,—,-2.84,7.99,-15.48
+/- Index (Price),—,—,—,—,—,—,—,—,-5.03,-2.62,-6.47
Percentile Rank,—,—,—,—,—,—,—,—,59,12,95
# of Funds in Category,—,—,—,—,—,—,—,636,734,890,938
