Sectors,Fund %,Category %
Basic Materials,2.73,4.14
Consumer Cyclical,3.35,17.57
Financial Services,51.03,24.64
Real Estate,2.52,4.51
Communication Services,11.41,1.04
Energy,9.60,1.90
Industrials,3.27,9.90
Technology,10.71,15.66
Consumer Defensive,0.91,12.57
Healthcare,2.04,6.89
Utilities,2.43,1.19
