,1-Day,1-Week,1-Month,3-Month,YTD,1-Year,3-Year,5-Year,10-Year,15-Year,Since Inception
Total Return % (Price),-1.74,-1.40,-8.52,-7.05,0.18,-7.43,2.70,—,—,—,—
Total Return % (NAV),-0.01,-0.98,-7.30,-6.22,1.68,-7.69,3.09,—,—,—,4.49
+/- Category (NAV),-0.93,-0.93,-3.44,-3.84,-15.48,-8.62,-2.77,—,—,—,—
+/- Index (NAV),-0.20,-1.63,-2.61,-1.05,-4.96,-2.82,-6.54,—,—,—,—
