,Values
NAV,"8,250.34"
Open Price,"7,960.00"
Bid / Ask / Spread,"7,765.00 / 7,830.00 / 0.83%"
Volume / Avg,"1,337.0 / 5,472.7"
Day Range,"7,770.00 – 7,960.00"
Year Range,"7,100.00 – 9,225.00"
SEC Yield ,—
12-Month Yield ,0.00%
Premium ,—
Expense Ratio,0.650%
Total Assets,5.9 Bil
