,Fund,Cat. Average,Index
Price/Earnings ,12.35,9.59,11.73
Price/Book ,1.41,0.96,1.24
Price/Sales ,2.27,1.50,1.80
Price/Cash Flow ,5.63,5.09,4.08
Dividend Yield % ,2.30,3.35,3.31
Long-Term Earnings % ,9.97,9.32,7.95
Historical Earnings % ,7.73,3.83,7.07
Sales Growth % ,7.08,3.64,-0.86
Cash-Flow Growth % ,-64.29,9.11,-41.07
Book-Value Growth % ,4.61,2.07,1.63
