,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,YTD
Fund (Price),—,—,—,—,—,—,2.87,22.14,5.14,-11.90,19.49
Fund (NAV),—,—,—,—,—,—,2.98,21.66,5.32,-12.23,23.49
+/ Category (NAV),—,—,—,—,—,—,2.69,16.19,-16.65,0.42,20.64
+/- Index (Price),—,—,—,—,—,—,7.88,11.43,-19.22,1.95,12.27
Percentile Rank,—,—,—,—,—,—,41,6,100,25,23
# of Funds in Category,—,—,—,—,—,35,40,36,41,47,54
