,Values
NAV,"16,924.23"
Open Price,"16,505.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,"1,003.0 / 353.2"
Day Range,"16,445.00 – 16,505.00"
Year Range,"13,020.00 – 17,740.00"
SEC Yield ,—
12-Month Yield ,0.00%
Premium ,—
Expense Ratio,0.370%
Total Assets,6.3 Bil
