,Values
NAV,"7,759.07"
Open Price,"7,770.00"
Bid / Ask / Spread,"7,780.00 / 8,560.00 / 9.55%"
Volume / Avg,"5,033.0 / 5,135.6"
Day Range,"7,710.00 – 7,785.00"
Year Range,"7,565.00 – 10,575.00"
SEC Yield ,—
12-Month Yield ,0.00%
Premium ,—
Expense Ratio,0.510%
Total Assets,5.4 Bil
