,Net,Short,Long,Cat.,Index
U.S.Stock,0.00,0.00,0.00,0.03,—
Non-U.S.Stock,200.18,0.00,200.18,620.20,—
Bonds,2.39,0.00,2.39,8.78,—
Other,0.00,0.00,0.00,3.73,—
Cash,-102.57,109.77,7.20,156.79,—
Not Classified,0.00,0.00,0.00,0.10,—
