,Values
NAV,"9,911.66"
Open Price,"9,780.00"
Bid / Ask / Spread,"9,805.00 / 9,930.00 / 1.27%"
Volume / Avg,"237,251.0 / 112,428.0"
Day Range,"9,590.00 – 9,800.00"
Year Range,"9,590.00 – 13,950.00"
SEC Yield ,—
12-Month Yield ,0.00%
Premium ,—
Expense Ratio,0.110%
Total Assets,32.7 Bil
