,1-Day,1-Week,1-Month,3-Month,YTD,1-Year,3-Year,5-Year,10-Year,15-Year,Since Inception
Total Return % (Price),-2.01,-0.66,-14.32,-11.92,-8.11,-23.77,-0.32,-2.24,—,—,-0.28
Total Return % (NAV),0.29,-1.38,-12.71,-12.15,-6.13,-24.13,0.27,-1.66,—,—,-0.07
+/- Category (NAV),—,—,—,—,—,—,—,—,—,—,—
+/- Index (NAV),—,—,—,—,—,—,—,—,—,—,—
