,Values
NAV,"19,757.98"
Open Price,"19,845.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,117.0 / 333.3
Day Range,"19,745.00 – 19,895.00"
Year Range,"19,475.00 – 23,315.00"
SEC Yield ,—
12-Month Yield ,2.33%
Premium ,—
Expense Ratio,0.180%
Total Assets,10.3 Bil
