,Fund,Cat. Average,Index
Price/Earnings ,9.01,11.02,12.13
Price/Book ,0.88,0.84,0.86
Price/Sales ,0.60,0.53,0.65
Price/Cash Flow ,3.62,3.46,3.66
Dividend Yield % ,3.08,3.08,3.48
Long-Term Earnings % ,13.31,10.07,3.69
Historical Earnings % ,14.28,15.26,14.88
Sales Growth % ,4.60,11.25,4.89
Cash-Flow Growth % ,10.26,16.83,15.05
Book-Value Growth % ,6.97,10.86,8.56
