,Values
Sustainability Rate,High
Percent Rank in Global Category,8%
Historical Sustainability Score,42.96
Global Category,Korea Equity
Portfolio ESG,51.87
Controversy Deduction,8.48
Sustainability Score,43.39
Sustainability Mandate,No
