,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,YTD
Fund (Price),—,—,—,11.12,2.12,-6.70,-1.23,11.72,34.55,-21.75,-1.63
Fund (NAV),—,—,—,12.39,1.77,-6.47,-1.23,11.93,28.38,-17.96,-1.27
+/ Category (NAV),—,—,—,5.41,0.66,-1.39,-5.24,11.24,5.90,-1.28,3.60
+/- Index (Price),—,—,—,-3.21,-0.41,0.45,1.59,-2.10,2.32,-4.12,-2.12
Percentile Rank,—,—,—,9,38,51,79,2,11,64,8
# of Funds in Category,—,—,"1,539","1,737","1,779","1,796","2,103","2,012","2,058","2,015","2,284"
