,Fund,Cat. Average,Index
Price/Earnings ,11.28,9.22,—
Price/Book ,0.87,0.83,—
Price/Sales ,0.69,0.46,—
Price/Cash Flow ,4.58,3.89,—
Dividend Yield % ,2.68,2.81,—
Long-Term Earnings % ,12.06,5.87,—
Historical Earnings % ,-1.45,3.24,—
Sales Growth % ,4.80,1.97,—
Cash-Flow Growth % ,-3.95,-5.54,—
Book-Value Growth % ,8.37,6.47,—
