,Values
NAV,"10,244.83"
Open Price,"10,185.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,166.0 / 125.0
Day Range,"10,185.00 – 10,195.00"
Year Range,"9,815.00 – 10,740.00"
SEC Yield ,—
12-Month Yield ,1.15%
Premium ,—
Expense Ratio,0.470%
Total Assets,6.1 Bil
