,Net,Short,Long,Cat.,Index
U.S.Stock,0.24,0.00,0.24,26.91,—
Non-U.S.Stock,100.62,0.00,100.62,41.47,—
Bonds,0.00,0.00,0.00,0.51,—
Other,0.00,0.00,0.00,0.78,—
Cash,-0.86,117.75,116.89,75.36,—
Not Classified,0.00,0.00,0.00,0.11,—
