,Values
NAV,"7,976.80"
Open Price,"7,990.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,"48.0 / 4,430.4"
Day Range,"7,990.00 – 8,010.00"
Year Range,"7,610.00 – 9,000.00"
SEC Yield ,—
12-Month Yield ,0.00%
Premium ,—
Expense Ratio,0.760%
Total Assets,3.6 Bil
