,Fund,Cat. Average,Index
Price/Earnings ,11.73,18.61,—
Price/Book ,1.46,2.88,—
Price/Sales ,1.13,1.98,—
Price/Cash Flow ,4.53,9.20,—
Dividend Yield % ,3.54,1.69,—
Long-Term Earnings % ,13.34,10.42,—
Historical Earnings % ,12.69,8.99,—
Sales Growth % ,7.48,5.87,—
Cash-Flow Growth % ,11.09,5.20,—
Book-Value Growth % ,7.89,9.23,—
